"course_code","title","description","skills"
"CSC 664","Multimedia Systems","Comprehensive topics in multimedia such as basics of image and video processing, compression, multimedia databases, standard, synchronization, formats in the perspective of systems, and algorithms. Extra fee required. (Plus-minus letter grade only)","[(Image Processing, 17), (Video Encoding, 17), (Audio Processing and Codecs, 14), (Multimedia Compression, 15), (Multimedia Databases and Retrieval, 13), (Media Streaming, 14), (Multimedia Synchronization, 12), (Color Spaces, 11), (FFmpeg and OpenCV, 12), (Python for Multimedia, 10), (CDN, 9), (Real-Time Communication, 9), (Multimedia Standards, 8), (Perceptual Quality Metrics, 8), (AR/VR Media Basics, 7)]"
"CSC 665","Artificial Intelligence","Overview of algorithms and approaches to artificial intelligence. Study of fundamental concepts needed to attain human-level intelligence in computer systems, and gain experience in working with these concepts through assignments and programming exercises. Topics include problem-solving methods, heuristic search, game playing, agent architectures, machine learning, and various topics selected from knowledge representation, symbolic reasoning, computational models of virtual humans, neural networks, and genetic algorithms. Extra fee required. Syllabus terms: Spring 2024.","[(AI Search Algorithms, 18), (Heuristic Search, 16), (Adversarial Search, 15), (Machine Learning Fundamentals, 15), (Neural Networks, 14), (Knowledge Representation, 13), (Bayesian Networks, 12), (Constraint Satisfaction, 11), (Evolutionary Algorithms, 10), (Reinforcement Learning, 10), (Python, 9), (Agent Architectures, 9), (Natural Language Processing, 8), (Decision Trees, 8), (Research Paper Reading, 7), (Problem Formulation, 6)]"
"CSC 667","Internet Application Design and Development","Fundamental technologies on which the World Wide Web is based. Extra fee required. Syllabus terms: Spring 2025.","[(JavaScript, 20), (Node.js, 18), (React.js, 17), (Express.js, 16), (PostgreSQL, 15), (RESTful API Design, 15), (HTML5/CSS3, 13), (WebSockets, 12), (JWT and OAuth2, 12), (Web Security, 11), (Docker Containerization, 10), (Git/GitHub CI/CD, 10), (Database ORM, 9), (API Testing, 9), (Session Management, 8), (Cloud Deployment, 8), (Agile Development, 7), (Technical Documentation, 6)]"
"CSC 668","Advanced Object Oriented Software Design and Development","Object-oriented analysis and design utilizing UML, design patterns, frameworks, and toolkits. Agile software design processes. Development of a mid-size programming project working in teams. Extra fee required. (Plus-minus letter grade only)","[(UML Modeling, 19), (Design Patterns, 19), (OO Analysis and Design, 17), (SOLID Principles, 15), (Agile Development and Scrum, 14), (Refactoring Techniques, 13), (Framework and Toolkit Design, 12), (Architecture Patterns, 12), (Code Review, 11), (Java or C++, 11), (Testing Strategies, 10), (Software Quality Metrics, 9), (Continuous Integration, 8), (Team Software Development, 8), (Technical Documentation, 7)]"
"CSC 671","Deep Learning","Exploration of the major technology trends that drive Deep Learning. Discussion of concepts and technologies to build, train, and apply fully connected deep neural networks. Focus on understanding the key parameters in a neural network's architecture and learning how Deep Learning actually works. (Plus-minus letter grade only) Syllabus terms: Fall 2024.","[(Python, 18), (PyTorch, 20), (Deep Neural Networks, 18), (Convolutional Neural Networks, 17), (RNNs, 15), (Transformer Architecture, 17), (Transfer Learning, 14), (Optimization Algorithms, 13), (Regularization, 12), (GPU Computing, 12), (Dataset Management, 11), (Model Evaluation, 10), (Hyperparameter Tuning, 10), (Research Implementation, 9), (TensorBoard / Weights & Biases, 8), (Generative Models, 8), (MLOps, 7)]"
"CSC 675","Introduction to Database Systems","Relational query languages. Semantic data models. Logical and physical database design. Privacy issues. Implementation techniques (catalogs, query optimization, concurrency control, security, and integrity enforcement). Extra fee required.","[(Advanced SQL, 20), (Relational Database Design, 18), (Entity-Relationship (ER) Modeling, 17), (Database Normalization, 15), (Query Optimization, 14), (Indexing, 13), (Transactions and ACID Properties, 13), (Concurrency Control, 12), (PostgreSQL / MySQL, 11), (Stored Procedures and Triggers, 10), (Database Security, 10), (Physical Database Design, 9), (NoSQL Overview, 9), (Data Privacy, 8), (Data Integrity and Constraints, 8), (Performance Tuning, 7)]"
"CSC 676","Soft Computing and Decision Support Systems","Development of software systems for decision support including applications of soft computing. Topics include fuzzy sets, fuzzy logic, fuzzy systems, fuzzy decision-making, fuzzy controllers, approximate reasoning, possibility theory, rough sets, graded evaluation logic, logic aggregation operators, information fusion models, decision engineering methods, computing with words, perceptual computing, granular computing, and the LSP method for evaluation and optimization of complex systems. (Plus-minus letter grade only) Syllabus terms: Spring 2025.","[(Fuzzy Logic and Fuzzy Sets, 20), (Fuzzy Systems Design, 18), (Fuzzy Decision Making, 16), (Approximate Reasoning, 15), (Rough Sets, 13), (Logic Aggregation, 14), (Information Fusion Models, 13), (Decision Engineering Methods, 12), (Graded Evaluation Logic, 12), (LSP Method for System Evaluation, 11), (Computing with Words, 10), (Granular Computing, 9), (Neural-Fuzzy Systems, 9), (Soft Computing Applications, 9), (Python for Decision Systems, 8), (Mathematical Modeling, 8), (Systems Evaluation and Optimization, 7)]"
"CSC 680","Application Development for Mobile Devices","Introduction to, and comparison of, different popular mobile application frameworks. Conceptual and hands-on experience in writing mobile applications using native and cross-platform tools. (Plus-minus letter grade only)","[(Swift and SwiftUI, 17), (Kotlin and Jetpack Compose, 17), (React Native, 14), (Flutter and Dart, 12), (Mobile UX Design, 14), (REST API Integration, 13), (Local Data Storage, 12), (Push Notifications, 11), (Mobile Authentication, 10), (App Store Deployment, 10), (Mobile Performance, 10), (Device Sensors, 9), (Mobile Security Best Practices, 9), (Cross-Platform Architecture, 8), (Unit Testing for Mobile, 7), (CI/CD for Mobile, 7)]"
"CSC 685","Instructional Methods in Computer Science Teaching","Research-based pedagogical strategies and principles of teaching and learning in STEM. Seminar for students in their first Learning Assistant (LA) position or other interest in STEM teaching and learning.","[(Active Learning, 17), (Curriculum Design, 16), (Assessment Design, 14), (Inclusive Teaching, 14), (Learning Theory, 13), (STEM Education Research Literacy, 12), (Teaching Communication, 12), (Student Engagement, 11), (Mentoring and Tutoring Skills, 11), (Collaborative Teaching, 10), (Student Feedback, 10), (Universal Design for Learning, 9), (Reflective Practice, 8), (Academic Writing, 7)]"
"CSC 686","Experiences in Computer Science Teaching","Activity practicum for students who are Learning Assistants (LAs) in STEM courses. Under the supervision of a STEM course instructor, LAs participate in an active, inclusive learning community in a section of a STEM course. LAs meet with the course instructor to review upcoming activities. May be repeated for a total of 2 units.","[(Teaching Facilitation, 16), (Community Building, 14), (Mentoring and Student Support, 14), (Pedagogical Reflection, 13), (Curriculum Review, 13), (Collaborative Problem Solving, 12), (Communication and Feedback Delivery, 12), (Inclusive Teaching Practices, 11), (Lab and Section Management, 10), (Reflective Practice, 9), (STEM Education, 8)]"
"CSC 688","AI Entrepreneurship","Exploration of practical methods and tools for AI entrepreneurship. Knowledge and skills to integrate artificial intelligence into business ventures. Basics of AI technologies, market research, product-market fit development.","[(AI Product Development, 18), (Market Research, 15), (Lean Startup, 15), (Business Model Canvas, 14), (Product-Market Fit Development, 13), (Customer Discovery, 13), (AI Ethics in Business, 12), (Investor Pitching, 12), (Go-to-Market Strategy, 11), (Financial Modeling, 10), (Intellectual Property, 9), (Team Building and Leadership, 9), (Cross-Functional Communication, 9), (Startup Fundraising, 8), (AI API Integration, 8), (Startup Legal Basics, 7)]"
"CSC 690","Interactive Multimedia Application Development","Basics of multimedia data formats and algorithms to build applications using non-standard interfaces such as game controllers and multi-touch surfaces. (Plus-minus letter grade only)","[(Multimedia Programming, 16), (Multimedia APIs and Frameworks, 14), (Game Controller Input Processing, 13), (Multi-Touch Interface Design, 13), (Multimedia Data Formats, 12), (Audio/Video Processing, 12), (Creative Coding, 11), (Interactive Design and UX, 11), (Event-Driven Programming, 10), (Real-Time Processing, 10), (Cross-Platform Development, 9), (Interaction Prototyping, 8), (OpenGL/WebGL Basics, 7), (Technical Documentation, 6)]"
"CSC 694","Cooperative Education: Computer Science","Projects in a business, government, or industrial position of at least one semester's duration. May be repeated for a total of 3 units. (This course is not eligible for certification for enrollment with the VA.)","[(Industry Development, 16), (Project Management, 14), (Technical Communication, 14), (Agile Practices, 13), (Team Collaboration and Code Review, 13), (Problem Solving in Business Context, 12), (Career Development, 12), (Industry Tools, 11), (Technical Report Writing, 10), (Self-Direction and Initiative, 10), (Quality Assurance in Industry, 9), (Time Management, 8)]"
"CSC 697","Senior Project in Computer Science","Culminating experience in individual design, implementation, and professional documentation of a software product under the close supervision of a faculty member. (Plus-minus letter grade only)","[(Project Management, 16), (Full-Stack Software Development, 15), (Software Architecture Design, 14), (Technical Documentation, 13), (Independent Research, 13), (Problem Formulation, 12), (Iterative Prototyping, 12), (User Requirements Analysis, 11), (Testing and Quality Assurance, 11), (Professional Presentation and Demo, 10), (Version Control, 10), (Agile Self-Management, 9), (Technical Poster/Report Production, 8), (Faculty Mentorship Engagement, 7)]"
"CSC 698","Topics in Computing","Current topics in computer hardware and software technologies. Topics to be specified in the Class Schedule. May be repeated for a total of 9 units when topics vary. Topics include: Interactive Multimedia Development; Augmented Reality Software Systems; Research Topics in Computing Applications; Advanced Topics in Computing Applications; Applications of Parallel Computations; Real-Time Cross-Platform Application Development; Principles of Information Security and Privacy; Software Design, Development, and Pedagogy; Information Visualization: Tools and Techniques; Generative AI.","[(Advanced Computing Topics, 15), (Research Analysis, 14), (Technical Presentation, 13), (Emerging Technologies, 13), (Systems Design and Architecture, 12), (Literature Survey, 11), (Experimental Prototyping, 11), (Technical Report Writing, 10), (Problem Formulation, 10), (Independent Learning, 9), (Data Analysis, 8), (Interdisciplinary Collaboration, 8)]"
"CSC 699","Independent Study","Library and laboratory research and development projects. A final report must be approved by the instructor and filed with the department. May be repeated for a total of 9 units. (Plus-minus letter grade only)","[(Independent Research, 16), (Research Methodology, 15), (Literature Review, 14), (Scientific Writing, 14), (Problem Formulation, 13), (Experimental Design, 13), (Data Analysis, 12), (Faculty Mentorship, 11), (Academic Presentations and Posters, 10), (Version Control, 9), (Self-Direction and Time Management, 9), (Reproducible Research, 8), (Peer Review Participation, 7)]"
"CSC 720","Advanced Operating Systems","Analysis of scheduling and memory management algorithms and the use of concurrent languages for systems development and distributed systems. Design and implementation of major components of an operating system. Extra fee required.","[(Advanced OS Design and Architecture, 20), (Concurrent Programming, 18), (CPU Scheduling, 17), (Memory Management, 16), (Distributed Systems Design, 15), (IPC Mechanisms, 14), (Kernel Module Development, 13), (C and C++, 13), (Fault Tolerance and Recovery, 12), (Virtualization, 11), (Real-Time Systems, 10), (Performance Analysis and Profiling, 10), (Systems Research Paper Reading, 9), (Secure OS Design, 8), (Distributed File Systems, 7), (Technical Report Writing, 7)]"
"CSC 746","High-Performance Computing","Principles and current practices in high-performance computing. Basics of multiprocessor systems such as clusters and graphics processors. Message-passing and shared memory-based software development. Cloud computing. Syllabus terms: Fall 2024.","[(MPI, 19), (OpenMP, 17), (CUDA and GPU Programming, 18), (Parallel Algorithm Design, 17), (Scalability Analysis, 15), (C and C++, 14), (Performance Profiling, 14), (SIMD Vectorization, 12), (Memory Optimization, 12), (Cluster Computing, 11), (Cloud HPC, 10), (HPC Libraries, 10), (Benchmarking, 9), (Distributed Memory Programming, 9), (HPC Research Reading, 8), (Technical Report Writing, 7)]"
"CSC 747","Introduction to Quantum Computing and Quantum Information Science","Introduction to quantum computing and quantum information science. Comparison of classical and quantum computing architectures and organization. Quantum algorithm design and implementation on circuit-based and annealing quantum platforms. Program execution and performance analysis on quantum platform simulators and actual quantum hardware, subject to availability. Survey of research topics in quantum computing ranging from algorithms (e.g., Grover's Search) and their application to problems in quantum cryptography, quantum machine learning, and hybrid classical/quantum algorithms.","[(Quantum Mechanics, 18), (Quantum Circuits, 18), (Qiskit, 17), (Quantum Algorithms, 17), (Quantum Information Theory, 14), (Quantum Cryptography, 13), (Quantum Machine Learning, 12), (Hybrid Quantum Computing, 11), (Quantum Hardware, 10), (Quantum Error Correction, 10), (Quantum Linear Algebra, 9), (Graduate Research Writing, 9), (Python for Quantum Computing, 8), (Advanced Quantum Algorithms, 8), (Scientific Communication, 7)]"
"CSC 775","Introduction to Database Systems","Relational query languages. Semantic data models. Logical and physical database design. Privacy issues. Implementation techniques (catalogs, query optimization, concurrency control, security, and integrity enforcement). Extra fee required.","[(Advanced SQL, 20), (Relational Database Design, 18), (Entity-Relationship (ER) Modeling, 17), (Database Normalization, 15), (Query Optimization, 14), (Indexing, 13), (Transactions and ACID Properties, 13), (Concurrency Control, 12), (PostgreSQL / MySQL, 11), (Stored Procedures and Triggers, 10), (Database Security, 10), (Physical Database Design, 9), (NoSQL Overview, 9), (Data Privacy, 8), (Graduate-Level Research and Writing, 8), (Performance Tuning, 7)]"
"CSC 780","Application Development for Mobile Devices","Introduction to, and comparison of, different popular mobile application frameworks. Conceptual and hands-on experience in writing mobile applications using native and cross-platform tools. (Plus-minus letter grade only)","[(Swift and SwiftUI, 17), (Kotlin and Jetpack Compose, 17), (React Native, 14), (Flutter and Dart, 12), (Mobile UX Design, 14), (REST API Integration, 13), (Local Data Storage, 12), (Push Notifications, 11), (Mobile Authentication, 10), (App Store Deployment, 10), (Mobile Performance, 10), (Device Sensors, 9), (Mobile Security, 9), (Graduate Research Writing, 8), (Unit Testing for Mobile, 7), (CI/CD for Mobile, 7)]"
"CSC 803","Generative AI: Fundamentals and Applications","Introduction to Generative AI, covering its fundamental concepts, models, and real-world applications. Explore key techniques for generating text, images, and multimodal content using state-of-the-art models such as transformers, GANs, and diffusion models. Focus on both theory and hands-on practice, including prompt engineering, API usage, and AI-powered application development. Gain experience building AI-driven applications such as chatbots, media generation tools, and productivity applications.","[(Generative AI, 20), (Large Language Models, 19), (Transformer Architecture, 17), (Prompt Engineering, 16), (Generative Adversarial Networks, 13), (Diffusion Models, 14), (LLM Fine-Tuning, 13), (Retrieval-Augmented Generation, 14), (LLM API Integration, 13), (Multimodal AI, 12), (Chatbot Development, 11), (AI Application Development, 11), (AI Ethics, Bias, and Responsible AI, 10), (Model Evaluation and Benchmarking, 9), (Vector Databases, 9), (Advanced AI Research, 9), (LangChain, 8)]"
"CSC 805","Data Visualization: Concepts, Tools, Techniques, and Paradigms","Concepts, techniques, algorithms, and technologies for creating effective and efficient visual data representations and visual analytic tools based on principles from computer graphics, HCI, visual art, perceptual psychology, and cognitive science to enhance the understanding and communication of complex and multi-dimensional data. (Plus-minus letter grade only)","[(D3.js, 18), (Python Visualization, 17), (Tableau and Power BI, 14), (Visual Design Principles, 15), (Information Architecture, 13), (Interactive Visualization Design, 14), (Visualization Psychology, 13), (Geospatial Visualization, 12), (Graph Visualization, 11), (High-Dim Visualization, 11), (Dashboard Development, 10), (Cognitive Load and Visual Clarity, 10), (Data Storytelling, 9), (HCI Principles for Visualization, 9), (Visualization Evaluation Methods, 8), (Technical Writing and Presentation, 7)]"
"CSC 810","Analysis of Algorithms II","Review major design strategies and theory of NP-Completeness. Approximation algorithms. Online Algorithms. Parallel and distributed algorithms. Algorithms for specific areas of interest. Extra fee required. Syllabus terms: Spring 2025.","[(NP-Completeness, 20), (Approximation Algorithms, 19), (Randomized Algorithms, 18), (Online Algorithms, 16), (Parallel Algorithms, 15), (Advanced DP, 14), (Computational Geometry, 13), (Advanced Graph Algorithms, 13), (Streaming Algorithms, 11), (Lower Bounds Proofs, 11), (Complexity Classes, 10), (Research Analysis, 10), (Algorithm Implementation, 9), (Formal Proof Writing, 9), (Technical Paper Writing, 7)]"
"CSC 820","Natural Language Technologies","Introduction to the fundamental concepts and techniques of Natural Language Processing (NLP). In-depth understanding of the computational properties of natural language and the commonly used algorithms for processing language data. Illustration of the pervasiveness of natural language technologies through real-world applications. Practical experience in NLP through hands-on exercises. Extra fee required. (Plus-minus letter grade only)","[(Python, 17), (Natural Language Processing, 20), (NLTK and spaCy, 14), (HuggingFace Transformers, 17), (Text Preprocessing, 15), (Word Embeddings, 15), (Large Language Models, 16), (Text Classification, 14), (NER, 12), (Question Answering, 11), (LM Fine-Tuning, 12), (Corpus Linguistics, 8), (Model Evaluation, 9), (Academic Writing, 9), (Research Replication, 8)]"
"CSC 821","Biomedical Imaging and Analysis","Introduction to medical and biological imaging, imaging physics, 3D image formats, and visualization. Basic digital image processing and analysis, filtering, registration, segmentation, quantification, and performance evaluation. (Plus-minus letter grade only)","[(Medical Image Processing, 19), (Image Filtering and Enhancement, 16), (Image Segmentation, 16), (Image Registration, 15), (3D Visualization, 14), (Medical Imaging Libraries, 13), (Medical Imaging DL, 14), (Imaging Physics, 12), (Performance Evaluation Metrics, 11), (Academic Writing, 11), (Medical Statistics, 9), (Research Literature Review, 9), (Data Annotation and Curation, 7), (Ethics in Medical AI, 7)]"
"CSC 825","Advanced Automata Theory","Advanced topics in theoretical computer science and their application to a broad range of areas including bioinformatics, compilers, data and image compression, natural language processing, networking, and web applications. Extra fee required. (Plus-minus letter grade only)","[(Advanced Automata, 19), (Advanced Formal Languages, 17), (Complexity Theory, 16), (Bioinformatics Applications, 14), (Compiler Design, 13), (Data Compression, 12), (Formal NLP Models, 12), (Protocol Verification, 11), (Pattern Matching, 11), (Algebraic Automata Theory, 9), (Lower Bounds and Hardness, 9), (Research Presentation, 9), (Graduate Technical Writing, 8), (Formal Verification, 8), (Formal Methods, 7)]"
"CSC 830","Computer Graphics Systems Design","Graphics system design and GPU pipeline architecture and Generative AI on graphics. Overview of device-independent graphic systems such as OpenGL, 2- & 3-dimensional viewing pipelines, hidden line and surface removal algorithms, raster graphics techniques, and color space models. Topics on generative AI for graphics such as StyleGAN are covered. Course fee required. (Plus-minus letter grade only)","[(OpenGL, 20), (GLSL Shader Programming, 17), (GPU Programming, 17), (3D Transformations, 15), (Ray Tracing and Global Illumination, 14), (Physically Based Rendering, 13), (Lighting and Shadow Algorithms, 13), (Generative Graphics AI, 13), (C++ for Graphics, 11), (Linear Algebra for Graphics, 11), (Raster Graphics Techniques, 10), (WebGL, 9), (Real-Time Rendering Optimization, 9), (Graduate Research in Graphics, 8), (Scientific Writing, 7), (Color Theory and Perception, 6)]"
"CSC 831","Multiplayer Game Development","Computer graphics and network characteristics of multiplayer games. Design and development of a game as a team project.","[(Unity, 19), (Multiplayer Architecture, 17), (Game Networking, 16), (Game Physics, 15), (Network Lag Compensation, 14), (Computer Graphics, 13), (3D Asset Integration, 12), (Agile Development, 12), (Game Design Documentation, 11), (Version Control, 11), (Latency and Synchronization, 10), (Game Engineering Research, 9), (Game Testing, 9), (Unity Netcode / Photon Networking, 8), (Performance Optimization, 7), (Academic Writing and Reflection, 6)]"
"CSC 841","Computer Performance Evaluation","Computer performance analysis problems related to system design, selection, and tuning. Modeling using stochastic and operational queuing models. Workload characterization, design, and performance measurement methods. Design of simulation models for computer systems. Extra fee required. (Plus-minus letter grade only)","[(Queueing Theory, 19), (Stochastic Modeling, 17), (Discrete-Event Simulation, 16), (Benchmarking, 15), (Workload Profiling, 14), (Capacity Planning, 13), (Performance Measurement Tools, 13), (Statistical Analysis, 12), (Python and R, 11), (Cloud Performance, 10), (Graduate Research Writing, 10), (Operational Analysis, 9), (Performance Tuning, 9), (Experimental Design, 8), (Technical Report Writing, 7)]"
"CSC 842","Human-Computer Interaction","The design, implementation, and evaluation of human-computer interfaces. Topics include interface devices, interface metaphors, interaction styles, user-centered design, testing, and quality assessment. Extra fee required.","[(User Research, 18), (User-Centered Design Process, 18), (High-Fidelity Prototyping, 17), (Usability Testing and Evaluation, 16), (Accessibility Design, 14), (Heuristic Evaluation, 13), (User Journey Mapping, 13), (User Study Analysis, 11), (Interaction Design, 11), (Design Thinking Facilitation, 10), (Figma and Prototyping Tools, 10), (HCI Research, 10), (UX Metrics, 9), (Accessibility Research, 8), (Wearable HCI, 7)]"
"CSC 845","Advanced Computer Networks","Design and implementation of networking protocols and technologies in wireless and mobile networks. Introduction to emerging design, algorithms, protocols, and applications in wireless and mobile networks. Extra fee required.","[(Wireless Networking, 19), (Mobile Networking, 17), (SDN, 16), (NFV, 14), (P4 Programming Language, 13), (Network Security Protocols, 13), (Quality of Service (QoS) Management, 12), (Multimedia Networking, 11), (Mobile IP and Mobility Management, 11), (Network Simulation, 10), (Research Analysis, 10), (Protocol Design, 9), (Cloud Networking, 9), (IoT Networking, 8), (Technical Report Writing, 7), (Network Programming, 7)]"
"CSC 847","Cloud and Distributed Computing: Concepts and Applications","Infrastructure, platform, and software as a service. Includes enabling techniques behind cloud computing including virtualization, multi-tenancy, and service-oriented architecture. Cloud storage options such as NoSQL databases, emerging technologies such as containers and Kubernetes, parallel and distributed computing platforms including MapReduce and Apache Sparc, and hands-on experience on public clouds such as the Amazon Cloud and Google Cloud. (Plus-minus letter grade only)","[(AWS / GCP / Azure, 19), (Docker Containerization, 17), (Kubernetes, 16), (Microservices Architecture, 15), (Serverless Computing, 13), (MapReduce, 13), (NoSQL Databases, 12), (Apache Kafka, 11), (Distributed Consensus, 11), (CAP Theorem and Consistency Models, 10), (Infrastructure as Code, 10), (Cloud CI/CD, 9), (Virtualization, 9), (Cloud Security and IAM, 8), (Cost Management and Cloud FinOps, 7), (Service Mesh, 7)]"
"CSC 848","Software Engineering","Practical methods and tools for SW engineering including organizational teamwork.","[(Agile Development, 19), (Requirements Engineering, 17), (UML Diagrams, 15), (System Architecture, 14), (CI/CD Pipelines, 13), (Unit and Integration Testing, 13), (Code Review, 12), (Project Management, 12), (Git/GitHub Advanced Workflows, 11), (REST and GraphQL API Development, 10), (Docker and Kubernetes Basics, 10), (Software Quality Metrics, 9), (GenAI Tools in SE, 9), (Technical Writing and Documentation, 8), (Open Source Collaboration, 7), (Software Ethics and Liability, 6)]"
"CSC 849","Search Engines","Fundamental concepts of text processing and information retrieval, including indexing, ranking, web search, and applications of search technology through research-oriented projects. Syllabus terms: Spring 2019.","[(Information Retrieval (IR) Theory, 20), (TF-IDF and BM25 Ranking Models, 17), (Inverted Index, 16), (Web Crawling, 14), (PageRank and Link Analysis, 13), (Dense Retrieval, 14), (Neural IR, 14), (FAISS and Vector Search, 13), (Elasticsearch and Solr, 12), (Query Processing and Expansion, 11), (Learning to Rank, 11), (Model Evaluation, 10), (Text Classification and Clustering, 10), (Python for IR, 9), (Research Paper Reading, 9), (Retrieval-Augmented Generation, 8)]"
"CSC 852","Introduction to Security and Data Privacy","Introduction to fundamental concepts in cybersecurity, cryptography, and data privacy. Practice different privacy mechanisms in databases and present applications to a wide range of data analysis tasks. Extra fee required.","[(Cryptography, 19), (Differential Privacy, 18), (Cybersecurity Fundamentals, 16), (Secure Protocols, 14), (Database Privacy, 14), (Access Control, 13), (Authentication Systems, 12), (Privacy-Preserving ML, 12), (Privacy Compliance, 11), (Threat Modeling, 10), (Security Auditing, 9), (Academic Writing, 9), (AI and Privacy Intersection, 8), (Python for Security Research, 7)]"
"CSC 853","Network Security","Introduction to the fundamental concepts of computer network security as well as standard security mechanisms and protocols.","[(Network Security Protocols, 19), (PKI, 17), (Authentication Protocols, 16), (Firewalls, IDS and IPS, 15), (VPN Technologies, 14), (Network Forensics, 13), (DoS/DDoS Defense Mechanisms, 12), (Wireless Security, 12), (Zero Trust Security Architecture, 11), (Penetration Testing, 10), (Risk Assessment, 10), (Graduate Research Writing, 9), (Advanced Cryptography Applications, 9), (Security Compliance Standards, 8), (Incident Response, 7)]"
"CSC 857","Bioinformatics Computing","A broad range of topics in computational biology as practiced in the life science industry and leading research organizations. Provides computational background required to participate in R&D. Extra fee required.","[(Bioinformatics Algorithms, 19), (Python and R for Bioinformatics, 17), (Genomics, 16), (Sequence Alignment, 15), (ML for Biology, 14), (Biological Databases, 13), (Protein Modeling, 12), (Gene Expression Analysis, 12), (Statistical Genomics, 11), (Drug Discovery, 10), (Academic Writing, 10), (Scientific Writing, 9), (Bioinformatics Pipelines, 8), (Reproducible Research, 7), (Computational Biology, 7)]"
"CSC 859","AI Explainability and Ethics","Overview of AI and GenAI technologies, their usage (including prompt engineering), and methods for their accuracy evaluations and optimization. Analysis of AI/GenAI limitations like hallucinations, bias, and errors. Overview of AI/GenAI explainability. Definitions, best practices and tools for auditing AI/GenAI for ethics and trustworthiness. Implementation of full AI pipeline and trustworthiness audit of selected AI application. (Plus-minus letter grade RP only)","[(Explainable AI, 19), (AI Ethics, 18), (Prompt Engineering, 17), (LLM Evaluation, 16), (Bias Detection and Mitigation, 15), (Hallucination Mitigation, 14), (AI Model Auditing, 13), (Retrieval-Augmented Generation, 12), (Algorithmic Fairness, 12), (AI Regulation, 11), (Responsible AI, 11), (Python and ML Pipeline Development, 10), (RLHF, 9), (Academic Writing, 9), (AI Policy Analysis, 8), (Human-AI Interaction, 7), (AI Data Privacy, 7)]"
"CSC 864","Multimedia Systems","Comprehensive topics in multimedia such as basics of image and video processing, compression, multimedia databases, standard, synchronization, formats in the perspective of systems, and algorithms. Extra fee required. (Plus-minus letter grade only)","[(Image Processing, 17), (Video Encoding, 17), (Audio Processing and Codecs, 14), (Multimedia Compression, 15), (Multimedia Databases and Retrieval, 13), (Media Streaming, 14), (Multimedia Synchronization, 12), (FFmpeg and OpenCV, 12), (Python for Multimedia, 10), (CDN, 9), (Multimedia Systems Research, 9), (Perceptual Quality Metrics, 8), (AR/VR Media Systems, 7), (Research Paper Reading and Writing, 7)]"
"CSC 865","Artificial Intelligence","Overview of algorithms and approaches to artificial intelligence. Study of fundamental concepts needed to attain human-level intelligence in computer systems, and gain experience in working with these concepts through assignments and programming exercises. Topics include problem-solving methods, heuristic search, game playing, agent architectures, machine learning, and various topics selected from knowledge representation, symbolic reasoning, computational models of virtual humans, neural networks, and genetic algorithms. Extra fee required.","[(AI Search Algorithms, 18), (Heuristic Search, 16), (Adversarial Search, 15), (Machine Learning Fundamentals, 15), (Neural Networks, 14), (Knowledge Representation, 13), (Bayesian Networks, 12), (Constraint Satisfaction, 11), (Evolutionary Algorithms, 10), (Reinforcement Learning, 10), (Python, 9), (Agent Architectures, 9), (Natural Language Processing, 8), (Graduate Research Writing, 8), (Advanced AI Research, 7), (Problem Formulation, 6)]"
"CSC 867","Internet Application Design and Development","Fundamental technologies on which the World Wide Web is based. Extra fee required.","[(JavaScript, 20), (Node.js, 18), (React.js, 17), (Express.js, 16), (PostgreSQL, 15), (RESTful API Design, 15), (HTML5/CSS3, 13), (WebSockets, 12), (JWT and OAuth2, 12), (Web Security, 11), (Docker Containerization, 10), (Git/GitHub CI/CD, 10), (Database ORM, 9), (API Testing, 9), (Session Management, 8), (Cloud Deployment, 8), (Software Architecture, 7), (Research and Technical Writing, 7)]"
"CSC 868","Advanced Object Oriented Software Design and Development","Object-oriented analysis and design utilizing UML, design patterns, frameworks, and toolkits. Agile software design processes. Development of a mid-size programming project working in teams. Extra fee required. (Plus-minus letter grade only)","[(UML Modeling, 19), (Design Patterns, 19), (OO Analysis and Design, 17), (SOLID Principles, 15), (Agile Development and Scrum, 14), (Refactoring Techniques, 13), (Framework and Toolkit Design, 12), (Architecture Patterns, 12), (Code Review, 11), (Java or C++, 11), (Testing Strategies, 10), (Software Quality Metrics, 9), (Continuous Integration and DevOps, 8), (Graduate Research Writing, 8), (Technical Documentation, 7)]"
"CSC 869","Data Mining","Knowledge discovery process, basic data mining concepts, key mining algorithms, and data mining in practical domains such as bioinformatics. (Plus-minus letter grade only)","[(Data Mining Algorithms, 20), (Classification, 17), (Clustering, 16), (Association Rule Mining, 14), (Anomaly Detection, 13), (Feature Engineering, 13), (Dimensionality Reduction, 12), (Data Preprocessing and Cleaning, 12), (Python, 11), (Bioinformatics Mining, 10), (Model Evaluation, 10), (SQL for Data Extraction, 9), (Data Visualization, 8), (Research Paper Reading, 8), (Knowledge Discovery, 7), (Pattern Recognition, 7)]"
